HOTEL NAME,RATING,RATING COUNT,HOTEL TYPE,PRICE,AMENITY 1,AMENITY 2,AMENITY 3,AMENITY 4
Sekaran Hotel OMR Perungudi,3.8,245,2,2051,Pool,Free Wi-Fi,Breakfast,Wi-Fi
Hotel NK Grand Park,3.9,2239,3,2943,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
ibis Chennai Sipcot,4.5,8005,3,2509,Free parking,Free Wi-Fi,Air-conditioned,Breakfast
Hotel Tamil Nadu,3.9,95,0,5123,Pool,Free parking,Free breakfast,Free Wi-Fi
Budget Hotels in Chennai,3.5,1387,2,690,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Buhari Royale Boutique Hotel,3.7,7336,3,2808,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Hotel Grand Parkway,3.8,936,2,2711,Free Wi-Fi,Air-conditioned,Wi-Fi,Parking
"SRM Hotel Maraimalai Nagar, Chennai",3.9,2375,3,5017,Pool,Free parking,Free breakfast,Free Wi-Fi
"Welcomhotel By ITC Hotels, GST Road, Chennai - Premium Business Hotel on GST Road | Near Mahindra World City",4.3,5095,5,8962,Pool,Spa,Free parking,Free Wi-Fi
Hotel Southern Comfort,3.9,3924,3,2823,Pool,Free breakfast,Free Wi-Fi,Air-conditioned
Grand Chennai by GRT Hotels,4.4,15377,5,10100,Pool,Spa,Free parking,Free breakfast
Quality Inn Sabari Grand,4,6344,3,6123,Pool,Spa,Free parking,Free breakfast
"Hotel Bakya Slot - Rooms & Party Halls, Maraimalai Nagar",4.1,602,0,215,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Novotel Chennai Sipcot,4.7,10614,5,5724,Pool,Spa,Free parking,Free Wi-Fi
Deluxe hotel,3.8,2192,2,1587,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Turyaa Chennai,4.3,7038,5,5965,Pool,Spa,Free parking,Free breakfast
"ITC Grand Chola, Chennai",4.7,41086,5,19300,Spa,Free parking,Free breakfast,Free Wi-Fi
Hotel Sera Grand by Verbatim Hospitality,3.9,655,1,2963,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Hotel Southern Residency,4.1,1446,2,2566,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
THE CHENNAI INN,4.4,399,0,1273,Pool,Free Wi-Fi,Air-conditioned,Wi-Fi
ROYAL GRAND,4.4,613,0,2886,Free parking,Free Wi-Fi,Air-conditioned,Breakfast
Ilara Hotels & Spa,4.6,13653,3,4131,Pool,Spa,Free parking,Free breakfast
"InterContinental Chennai Mahabalipuram Resort, an IHG Hotel",4.5,6137,5,12900,Pool,Spa,Free parking,Free Wi-Fi
TIA Hotel,3.9,347,3,1853,Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi
Hotel Akshay Grand,3.8,284,0,3465,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Hotel SRR Grand,3.8,1963,3,2676,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
"Vivanta Chennai, IT Expressway",4.3,7491,5,7275,Pool,Spa,Free parking,Free breakfast
Ginger Chennai OMR,4.6,365,0,3268,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi
Sky Residency,3.6,477,3,946,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Coastal Grand Hotels & Resorts - OMR,4.1,209,5,2534,Pool,Free parking,Free Wi-Fi,Wi-Fi
ibis Chennai OMR,4.6,8833,3,3889,Pool,Free parking,Free Wi-Fi,Air-conditioned
Hotel Ramakrishna,4,660,3,2012,Free parking,Free Wi-Fi,Air-conditioned,Breakfast
Fairfield by Marriott Chennai OMR,4.1,1431,4,4329,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Kalyan Grand - a business hotel,4.2,4691,4,3982,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Gokulam Park Sabari,4.1,669,4,1791,Pool,Spa,Free parking,Free breakfast
SoHo Inn,4.1,259,0,1175,Pool,Free parking,Free Wi-Fi,Air-conditioned
Sheraton Grand Chennai Resort & Spa,4.5,5250,5,14900,Pool,Spa,Free parking,Free Wi-Fi
Perfect stay,3.9,385,2,1666,Pool,Free Wi-Fi,Air-conditioned,Breakfast
SRI VIGNESH RESIDENCY,4.2,220,0,1743,Free parking,Free Wi-Fi,Air-conditioned,Wi-Fi
Mayuraa Residency,4.4,331,0,3261,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
OYO Blue Ocean Hotels And Resorts,3.8,71,0,2374,Pool,Free breakfast,Free Wi-Fi,Beach access
PP Residency,4,736,3,1917,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Hotel Shelter,3.7,1381,3,3216,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Hotel Rathnavel Towers Annex,4,204,0,2039,Pool,Free Wi-Fi,Wi-Fi,Parking
Ramada Plaza by Wyndham Chennai,4.4,8028,5,10800,Pool,Spa,Free parking,Free breakfast
TTDC HOTEL TAMILNADU - KANCHEEPURAM,3.6,1035,2,2797,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
HOTEL SPARK RESIDENCY,4.1,300,0,1566,Pool,Free breakfast,Free Wi-Fi,Air-conditioned
Le Emerald Residency,4.2,264,3,2258,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Novotel Chennai Chamiers Road,4.7,7928,5,10600,Pool,Free parking,Free breakfast,Free Wi-Fi
SERENITY INN - Hotel Rooms in Porur,3.9,71,0,1812,Spa,Free parking,Free Wi-Fi,Air-conditioned
Park Hyatt Chennai,4.5,8804,5,31900,Pool,Spa,Free parking,Free Wi-Fi
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,2997,2,4664,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Ram Residency,3.8,258,0,1617,Free Wi-Fi,Air-conditioned,Wi-Fi,Airport shuttle
ITS South East Residency,4,276,2,1777,Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi
Radisson Blu Resort Temple Bay Mamallapuram,4.5,8764,4,16000,Pool,Spa,Free parking,Free breakfast
Flagship Kb Residency,2.7,108,0,977,Pool,Free Wi-Fi,Air-conditioned,Wi-Fi
Hotel Sunshine Residency Chennai,3.8,821,3,1452,Free parking,Free Wi-Fi,Air-conditioned,Breakfast
Sugam Resort & Convention Center- Best Wedding Resort in Chennai,4,434,5,3220,Pool,Free parking,Free Wi-Fi,Air-conditioned
SKYRY HOTELS T NAGAR,4.2,159,0,1489,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
